date,agg_poverty
28/09/11,307
29/09/11,396
30/09/11,280
01/10/11,68
10/10/11,251
11/10/11,293
12/10/11,323
13/10/11,92
15/10/11,178
16/10/11,287
17/10/11,128
18/10/11,1
19/10/11,394
20/10/11,367
21/10/11,296
22/10/11,251
23/10/11,254
24/10/11,415
25/10/11,419
26/10/11,403
27/10/11,320
28/10/11,317
29/10/11,274
30/10/11,323
31/10/11,354
01/11/11,128
10/11/11,234
11/11/11,370
12/11/11,263
13/11/11,297
14/11/11,311
15/11/11,376
16/11/11,386
17/11/11,377
18/11/11,366
19/11/11,270
20/11/11,323
21/11/11,352
22/11/11,341
23/11/11,389
24/11/11,446
25/11/11,297
26/11/11,257
27/11/11,309
28/11/11,410
29/11/11,120
26/12/11,34
27/12/11,332
28/12/11,354
29/12/11,327
30/12/11,398
31/12/11,344
01/01/12,302
02/01/12,377
03/01/12,529
04/01/12,565
05/01/12,440
06/01/12,435
07/01/12,375
08/01/12,369
09/01/12,481
10/01/12,469
11/01/12,432
12/01/12,494
13/01/12,432
14/01/12,361
15/01/12,431
16/01/12,446
17/01/12,467
18/01/12,437
19/01/12,509
20/01/12,480
21/01/12,389
22/01/12,400
23/01/12,446
24/01/12,511
25/01/12,643
26/01/12,467
27/01/12,446
28/01/12,351
29/01/12,416
30/01/12,499
31/01/12,529
01/02/12,541
02/02/12,560
03/02/12,583
04/02/12,485
05/02/12,389
06/02/12,436
07/02/12,481
08/02/12,519
09/02/12,454
10/02/12,425
11/02/12,359
12/02/12,379
13/02/12,442
14/02/12,417
15/02/12,422
16/02/12,498
17/02/12,424
18/02/12,330
19/02/12,446
20/02/12,507
21/02/12,548
22/02/12,547
23/02/12,237
24/02/12,427
25/02/12,389
26/02/12,490
27/02/12,394
28/02/12,514
29/02/12,452
01/03/12,411
02/03/12,491
03/03/12,415
04/03/12,675
05/03/12,547
06/03/12,500
07/03/12,472
08/03/12,508
09/03/12,528
10/03/12,454
11/03/12,364
12/03/12,445
13/03/12,594
14/03/12,502
15/03/12,535
16/03/12,530
17/03/12,555
18/03/12,502
19/03/12,511
20/03/12,521
21/03/12,572
22/03/12,514
23/03/12,524
24/03/12,415
25/03/12,427
26/03/12,615
27/03/12,438
28/03/12,478
29/03/12,478
30/03/12,518
31/03/12,383
01/04/12,490
02/04/12,586
03/04/12,643
04/04/12,503
05/04/12,522
06/04/12,377
07/04/12,507
08/04/12,473
09/04/12,534
10/04/12,354
11/04/12,546
12/04/12,611
13/04/12,393
14/04/12,416
15/04/12,490
16/04/12,559
17/04/12,453
18/04/12,475
19/04/12,545
20/04/12,511
21/04/12,470
22/04/12,444
23/04/12,520
24/04/12,585
25/04/12,561
26/04/12,523
27/04/12,434
28/04/12,399
29/04/12,438
30/04/12,489
01/05/12,538
02/05/12,494
03/05/12,420
04/05/12,474
05/05/12,431
06/05/12,596
07/05/12,522
08/05/12,492
09/05/12,620
10/05/12,559
11/05/12,518
12/05/12,435
13/05/12,398
14/05/12,472
15/05/12,206
16/05/12,690
17/05/12,538
18/05/12,519
19/05/12,435
20/05/12,514
21/05/12,673
22/05/12,554
23/05/12,541
24/05/12,593
25/05/12,478
26/05/12,549
27/05/12,426
28/05/12,460
29/05/12,558
30/05/12,543
31/05/12,592
01/06/12,678
02/06/12,434
03/06/12,516
04/06/12,562
05/06/12,531
06/06/12,645
07/06/12,618
08/06/12,542
09/06/12,459
10/06/12,540
11/06/12,591
12/06/12,551
13/06/12,593
14/06/12,565
15/06/12,484
16/06/12,439
17/06/12,412
18/06/12,551
19/06/12,666
20/06/12,610
21/06/12,662
22/06/12,592
23/06/12,498
24/06/12,503
25/06/12,671
26/06/12,544
27/06/12,588
28/06/12,602
29/06/12,545
30/06/12,149
01/07/12,389
02/07/12,616
03/07/12,578
04/07/12,595
05/07/12,534
06/07/12,544
07/07/12,495
08/07/12,511
09/07/12,585
10/07/12,483
11/07/12,627
12/07/12,625
13/07/12,523
14/07/12,478
15/07/12,471
16/07/12,533
17/07/12,605
18/07/12,590
19/07/12,669
20/07/12,579
21/07/12,478
22/07/12,461
23/07/12,564
24/07/12,673
25/07/12,542
26/07/12,664
27/07/12,645
28/07/12,454
29/07/12,572
30/07/12,601
31/07/12,537
01/08/12,728
02/08/12,677
03/08/12,538
04/08/12,493
05/08/12,528
06/08/12,739
07/08/12,579
08/08/12,618
09/08/12,677
10/08/12,583
11/08/12,463
12/08/12,663
13/08/12,614
14/08/12,562
15/08/12,642
16/08/12,596
17/08/12,456
18/08/12,599
19/08/12,611
20/08/12,565
21/08/12,682
22/08/12,612
23/08/12,605
24/08/12,643
25/08/12,238
26/08/12,526
27/08/12,535
28/08/12,496
29/08/12,705
30/08/12,662
31/08/12,576
01/09/12,469
02/09/12,503
03/09/12,582
04/09/12,682
05/09/12,573
06/09/12,562
07/09/12,491
08/09/12,521
09/09/12,500
10/09/12,573
11/09/12,547
12/09/12,609
13/09/12,551
14/09/12,542
15/09/12,426
16/09/12,542
17/09/12,654
18/09/12,549
19/09/12,560
20/09/12,539
21/09/12,563
22/09/12,536
23/09/12,575
24/09/12,596
25/09/12,659
26/09/12,615
27/09/12,601
28/09/12,527
29/09/12,510
30/09/12,620
01/10/12,595
02/10/12,630
03/10/12,755
04/10/12,635
05/10/12,540
06/10/12,608
07/10/12,537
08/10/12,560
09/10/12,567
10/10/12,621
11/10/12,597
12/10/12,565
13/10/12,612
14/10/12,561
15/10/12,548
16/10/12,567
17/10/12,585
18/10/12,587
19/10/12,523
20/10/12,490
21/10/12,512
22/10/12,612
23/10/12,604
24/10/12,569
25/10/12,536
26/10/12,693
27/10/12,469
28/10/12,793
29/10/12,682
30/10/12,616
31/10/12,588
01/11/12,500
02/11/12,551
03/11/12,481
04/11/12,535
05/11/12,702
06/11/12,742
07/11/12,701
08/11/12,612
09/11/12,609
10/11/12,548
11/11/12,539
12/11/12,606
13/11/12,715
14/11/12,650
15/11/12,469
16/11/12,702
17/11/12,582
18/11/12,484
