date,agg_price
28/09/11,186
29/09/11,346
30/09/11,247
01/10/11,40
10/10/11,186
11/10/11,222
12/10/11,224
13/10/11,58
15/10/11,137
16/10/11,213
17/10/11,86
18/10/11,7
19/10/11,246
20/10/11,232
21/10/11,229
22/10/11,206
23/10/11,194
24/10/11,257
25/10/11,268
26/10/11,269
27/10/11,247
28/10/11,250
29/10/11,169
30/10/11,206
31/10/11,258
01/11/11,62
10/11/11,207
11/11/11,280
12/11/11,285
13/11/11,242
14/11/11,248
15/11/11,264
16/11/11,300
17/11/11,337
18/11/11,256
19/11/11,222
20/11/11,229
21/11/11,317
22/11/11,298
23/11/11,325
24/11/11,287
25/11/11,237
26/11/11,199
27/11/11,229
28/11/11,300
29/11/11,88
26/12/11,35
27/12/11,289
28/12/11,278
29/12/11,305
30/12/11,310
31/12/11,177
01/01/12,213
02/01/12,239
03/01/12,550
04/01/12,460
05/01/12,338
06/01/12,354
07/01/12,324
08/01/12,283
09/01/12,395
10/01/12,364
11/01/12,298
12/01/12,350
13/01/12,369
14/01/12,292
15/01/12,391
16/01/12,385
17/01/12,393
18/01/12,484
19/01/12,319
20/01/12,362
21/01/12,296
22/01/12,323
23/01/12,358
24/01/12,324
25/01/12,375
26/01/12,351
27/01/12,393
28/01/12,270
29/01/12,349
30/01/12,334
31/01/12,335
01/02/12,342
02/02/12,411
03/02/12,334
04/02/12,273
05/02/12,324
06/02/12,300
07/02/12,310
08/02/12,324
09/02/12,273
10/02/12,292
11/02/12,270
12/02/12,288
13/02/12,309
14/02/12,273
15/02/12,293
16/02/12,338
17/02/12,300
18/02/12,274
19/02/12,250
20/02/12,312
21/02/12,382
22/02/12,322
23/02/12,168
24/02/12,283
25/02/12,261
26/02/12,289
27/02/12,303
28/02/12,335
29/02/12,345
01/03/12,368
02/03/12,338
03/03/12,327
04/03/12,279
05/03/12,347
06/03/12,358
07/03/12,288
08/03/12,347
09/03/12,373
10/03/12,251
11/03/12,320
12/03/12,378
13/03/12,391
14/03/12,456
15/03/12,348
16/03/12,447
17/03/12,248
18/03/12,333
19/03/12,369
20/03/12,324
21/03/12,406
22/03/12,334
23/03/12,340
24/03/12,285
25/03/12,240
26/03/12,322
27/03/12,284
28/03/12,394
29/03/12,369
30/03/12,361
31/03/12,255
01/04/12,286
02/04/12,308
03/04/12,367
04/04/12,366
05/04/12,397
06/04/12,254
07/04/12,327
08/04/12,379
09/04/12,314
10/04/12,269
11/04/12,382
12/04/12,408
13/04/12,379
14/04/12,353
15/04/12,329
16/04/12,363
17/04/12,315
18/04/12,334
19/04/12,340
20/04/12,319
21/04/12,344
22/04/12,423
23/04/12,412
24/04/12,385
25/04/12,474
26/04/12,347
27/04/12,388
28/04/12,351
29/04/12,299
30/04/12,376
01/05/12,354
02/05/12,337
