date,agg_supply
28/09/11,219
29/09/11,330
30/09/11,337
01/10/11,48
10/10/11,165
11/10/11,318
12/10/11,231
13/10/11,61
15/10/11,183
16/10/11,223
17/10/11,102
18/10/11,3
19/10/11,476
20/10/11,405
21/10/11,321
22/10/11,261
23/10/11,291
24/10/11,320
25/10/11,333
26/10/11,361
27/10/11,382
28/10/11,303
29/10/11,258
30/10/11,271
31/10/11,319
01/11/11,81
10/11/11,218
11/11/11,326
12/11/11,254
13/11/11,323
14/11/11,343
15/11/11,312
16/11/11,280
17/11/11,361
18/11/11,332
19/11/11,310
20/11/11,363
21/11/11,305
22/11/11,343
23/11/11,359
24/11/11,313
25/11/11,349
26/11/11,245
27/11/11,273
28/11/11,323
29/11/11,123
26/12/11,36
27/12/11,298
28/12/11,303
29/12/11,330
30/12/11,297
31/12/11,248
01/01/12,228
02/01/12,294
03/01/12,308
04/01/12,441
05/01/12,375
06/01/12,388
07/01/12,321
08/01/12,321
09/01/12,368
10/01/12,375
11/01/12,389
12/01/12,373
13/01/12,402
14/01/12,384
15/01/12,359
16/01/12,399
17/01/12,336
18/01/12,479
19/01/12,439
20/01/12,347
21/01/12,364
22/01/12,342
23/01/12,390
24/01/12,414
25/01/12,425
26/01/12,430
27/01/12,402
28/01/12,333
29/01/12,347
30/01/12,373
31/01/12,439
01/02/12,423
02/02/12,483
03/02/12,409
04/02/12,348
05/02/12,313
06/02/12,361
07/02/12,379
08/02/12,352
09/02/12,321
10/02/12,355
11/02/12,349
12/02/12,362
13/02/12,357
14/02/12,341
15/02/12,346
16/02/12,392
17/02/12,378
18/02/12,328
19/02/12,285
20/02/12,367
21/02/12,485
22/02/12,507
23/02/12,198
24/02/12,368
25/02/12,266
26/02/12,318
27/02/12,386
28/02/12,342
29/02/12,388
01/03/12,345
02/03/12,445
03/03/12,374
04/03/12,328
05/03/12,391
06/03/12,385
07/03/12,383
08/03/12,376
09/03/12,432
10/03/12,339
11/03/12,344
12/03/12,386
13/03/12,427
14/03/12,377
15/03/12,411
16/03/12,375
17/03/12,288
18/03/12,321
19/03/12,369
20/03/12,406
21/03/12,437
22/03/12,439
23/03/12,386
24/03/12,304
25/03/12,364
26/03/12,401
27/03/12,415
28/03/12,484
29/03/12,428
30/03/12,402
31/03/12,375
01/04/12,316
02/04/12,402
03/04/12,444
04/04/12,433
05/04/12,415
06/04/12,346
07/04/12,385
08/04/12,396
09/04/12,461
10/04/12,321
11/04/12,461
12/04/12,442
13/04/12,293
14/04/12,355
15/04/12,387
16/04/12,528
17/04/12,402
18/04/12,500
19/04/12,475
20/04/12,555
21/04/12,458
22/04/12,472
23/04/12,503
24/04/12,473
25/04/12,503
26/04/12,404
27/04/12,398
28/04/12,290
29/04/12,384
30/04/12,407
01/05/12,454
02/05/12,389
03/05/12,374
04/05/12,431
05/05/12,365
06/05/12,416
07/05/12,460
08/05/12,392
09/05/12,461
10/05/12,391
11/05/12,385
12/05/12,367
13/05/12,398
14/05/12,438
15/05/12,187
16/05/12,451
17/05/12,389
18/05/12,489
19/05/12,393
20/05/12,378
21/05/12,440
22/05/12,432
23/05/12,422
24/05/12,525
25/05/12,405
26/05/12,434
27/05/12,492
28/05/12,399
29/05/12,458
30/05/12,459
31/05/12,505
01/06/12,455
02/06/12,379
03/06/12,346
04/06/12,458
05/06/12,439
06/06/12,451
07/06/12,444
08/06/12,449
09/06/12,358
10/06/12,382
11/06/12,487
12/06/12,505
13/06/12,530
14/06/12,440
15/06/12,385
16/06/12,344
17/06/12,289
18/06/12,457
19/06/12,475
20/06/12,411
21/06/12,407
22/06/12,433
23/06/12,389
24/06/12,378
25/06/12,432
26/06/12,432
27/06/12,510
28/06/12,441
29/06/12,459
30/06/12,102
01/07/12,275
02/07/12,394
03/07/12,484
04/07/12,381
05/07/12,393
06/07/12,394
07/07/12,392
08/07/12,460
09/07/12,457
10/07/12,474
11/07/12,472
12/07/12,449
13/07/12,456
14/07/12,364
15/07/12,377
16/07/12,492
17/07/12,406
18/07/12,457
19/07/12,407
20/07/12,434
21/07/12,394
22/07/12,381
23/07/12,451
24/07/12,428
25/07/12,407
26/07/12,459
27/07/12,436
28/07/12,390
29/07/12,353
30/07/12,431
31/07/12,403
01/08/12,540
02/08/12,515
03/08/12,405
04/08/12,432
05/08/12,346
06/08/12,415
07/08/12,480
08/08/12,482
09/08/12,470
10/08/12,398
11/08/12,403
12/08/12,385
13/08/12,391
14/08/12,394
15/08/12,478
16/08/12,471
17/08/12,427
18/08/12,383
19/08/12,325
20/08/12,421
21/08/12,435
22/08/12,393
23/08/12,446
24/08/12,461
25/08/12,128
26/08/12,409
27/08/12,338
28/08/12,343
29/08/12,469
30/08/12,495
31/08/12,411
01/09/12,354
02/09/12,390
03/09/12,469
04/09/12,510
05/09/12,456
06/09/12,381
07/09/12,459
08/09/12,436
09/09/12,397
10/09/12,442
11/09/12,505
12/09/12,458
13/09/12,507
14/09/12,494
15/09/12,433
16/09/12,425
17/09/12,436
18/09/12,324
19/09/12,474
20/09/12,441
21/09/12,481
22/09/12,365
23/09/12,446
24/09/12,402
25/09/12,482
26/09/12,418
27/09/12,468
28/09/12,494
29/09/12,393
30/09/12,457
01/10/12,450
02/10/12,422
03/10/12,436
04/10/12,491
05/10/12,627
06/10/12,412
07/10/12,396
08/10/12,458
09/10/12,402
10/10/12,410
11/10/12,430
12/10/12,422
13/10/12,388
14/10/12,396
15/10/12,417
16/10/12,495
17/10/12,470
18/10/12,421
19/10/12,418
20/10/12,350
21/10/12,448
22/10/12,424
23/10/12,366
24/10/12,467
25/10/12,362
26/10/12,441
27/10/12,376
28/10/12,479
29/10/12,431
30/10/12,420
31/10/12,532
01/11/12,427
02/11/12,447
03/11/12,477
04/11/12,465
05/11/12,466
06/11/12,469
07/11/12,478
08/11/12,397
09/11/12,494
10/11/12,345
11/11/12,405
12/11/12,544
13/11/12,446
14/11/12,605
15/11/12,334
16/11/12,439
17/11/12,366
18/11/12,377
19/11/12,466
20/11/12,418
21/11/12,414
22/11/12,643
23/11/12,480
24/11/12,383
25/11/12,450
26/11/12,478
27/11/12,459
28/11/12,450
29/11/12,528
30/11/12,517
01/12/12,446
02/12/12,523
03/12/12,479
04/12/12,421
05/12/12,457
06/12/12,425
07/12/12,446
08/12/12,368
09/12/12,346
10/12/12,512
11/12/12,509
12/12/12,443
13/12/12,561
14/12/12,461
15/12/12,346
16/12/12,418
17/12/12,410
18/12/12,450
19/12/12,420
20/12/12,416
21/12/12,447
22/12/12,440
23/12/12,540
24/12/12,475
25/12/12,383
26/12/12,362
27/12/12,134
01/01/13,196
02/01/13,333
03/01/13,520
04/01/13,530
05/01/13,456
06/01/13,555
07/01/13,505
08/01/13,430
09/01/13,510
10/01/13,451
11/01/13,452
12/01/13,389
13/01/13,455
14/01/13,405
15/01/13,537
16/01/13,541
17/01/13,508
18/01/13,568
19/01/13,128
20/01/13,407
21/01/13,137
22/01/13,222
23/01/13,357
24/01/13,488
25/01/13,453
26/01/13,444
27/01/13,445
28/01/13,448
29/01/13,430
30/01/13,487
31/01/13,489
01/02/13,521
02/02/13,383
03/02/13,435
04/02/13,433
05/02/13,469
06/02/13,485
07/02/13,507
08/02/13,654
09/02/13,542
10/02/13,603
11/02/13,475
12/02/13,609
13/02/13,593
14/02/13,469
15/02/13,534
16/02/13,396
17/02/13,447
18/02/13,451
19/02/13,496
20/02/13,527
21/02/13,496
22/02/13,521
23/02/13,425
24/02/13,349
25/02/13,510
26/02/13,552
27/02/13,502
28/02/13,540
01/03/13,790
02/03/13,463
03/03/13,475
04/03/13,441
05/03/13,421
06/03/13,407
07/03/13,527
08/03/13,442
09/03/13,390
10/03/13,456
11/03/13,450
12/03/13,452
13/03/13,568
14/03/13,470
15/03/13,664
16/03/13,133
17/03/13,297
18/03/13,478
19/03/13,685
20/03/13,749
21/03/13,638
22/03/13,350
23/03/13,355
24/03/13,428
25/03/13,486
26/03/13,572
27/03/13,516
28/03/13,447
29/03/13,498
30/03/13,421
31/03/13,568
01/04/13,261
02/04/13,175
06/04/13,394
07/04/13,109
11/04/13,354
12/04/13,128
14/04/13,338
15/04/13,139
19/04/13,402
20/04/13,128
21/04/13,322
22/04/13,123
23/04/13,291
24/04/13,88
29/04/13,310
30/04/13,104
01/05/13,382
02/05/13,405
03/05/13,482
04/05/13,323
05/05/13,85
06/05/13,336
07/05/13,509
08/05/13,483
09/05/13,104
10/05/13,372
11/05/13,377
12/05/13,387
13/05/13,410
14/05/13,487
15/05/13,522
16/05/13,126
17/05/13,350
18/05/13,396
19/05/13,488
20/05/13,486
21/05/13,474
22/05/13,527
23/05/13,405
24/05/13,459
25/05/13,373
26/05/13,374
27/05/13,379
28/05/13,592
29/05/13,579
30/05/13,620
31/05/13,521
01/06/13,472
02/06/13,435
03/06/13,575
04/06/13,463
05/06/13,575
06/06/13,555
07/06/13,466
08/06/13,402
09/06/13,347
10/06/13,372
11/06/13,402
12/06/13,443
13/06/13,521
14/06/13,420
15/06/13,370
16/06/13,392
17/06/13,455
18/06/13,492
19/06/13,596
20/06/13,507
21/06/13,477
22/06/13,409
23/06/13,404
24/06/13,417
25/06/13,435
26/06/13,467
27/06/13,444
28/06/13,462
01/07/13,200
02/07/13,544
03/07/13,460
04/07/13,528
05/07/13,426
06/07/13,300
07/07/13,388
08/07/13,393
09/07/13,451
10/07/13,553
11/07/13,569
12/07/13,476
13/07/13,377
14/07/13,362
15/07/13,412
16/07/13,426
17/07/13,467
18/07/13,495
19/07/13,415
20/07/13,361
21/07/13,230
22/07/13,378
23/07/13,460
24/07/13,419
25/07/13,471
26/07/13,498
27/07/13,397
28/07/13,414
29/07/13,443
30/07/13,477
31/07/13,474
01/08/13,510
02/08/13,469
03/08/13,372
04/08/13,426
05/08/13,443
06/08/13,510
07/08/13,489
08/08/13,487
09/08/13,450
10/08/13,402
