date,food,count
03/03/13,starch,8
21/10/12,cattle,19
06/03/14,poulet,42
04/06/14,kidney,41
07/07/12,ham,473
11/03/13,whisky,117
02/12/12,colby,20
05/10/12,ethanol,3
13/08/14,milk,541
16/07/12,catfish,19
20/10/11,steak,142
18/03/13,eggnog,1
07/03/12,flour,25
27/09/14,poulet,37
30/07/14,prawn,12
09/10/13,tater,8
02/06/13,salt,262
22/07/14,salmon,102
06/02/12,bread,509
18/05/12,colby,23
12/05/14,noodles,98
24/02/13,kefir,1
06/04/14,poultry,8
27/12/11,sugarcane,3
22/09/12,pig,237
30/07/13,meals,199
10/03/14,nestle,9
11/04/13,eggnog,1
02/07/12,cheddar,42
11/05/14,barley,36
20/01/12,kine,4
07/07/13,bran,42
17/05/12,foods,151
12/11/12,pimento,2
07/07/13,coca,367
27/02/13,poulet,40
27/06/14,eggnog,1
15/07/13,potato,280
24/11/11,tea,752
26/12/13,rib,46
25/11/11,sardine,7
28/02/12,ricotta,4
05/05/13,milk,131
18/03/14,cow,193
24/08/13,rib,50
03/07/14,chese,2
08/09/12,chese,3
07/03/14,tenderloin,3
07/11/12,seafood,74
30/09/14,coca,168
18/05/13,feta,13
31/10/13,salt,192
15/02/13,barley,60
08/03/14,meat,312
18/01/12,brisket,4
11/01/12,bread,460
10/10/11,butter,132
09/09/13,quark,9
25/06/13,kine,17
30/04/14,soya,10
23/11/13,sugarcane,1
04/03/13,cheshire,44
24/02/13,ravioli,36
31/05/14,ethanol,3
17/03/13,nestle,18
25/10/12,rice,340
18/12/12,pig,281
18/09/13,food,6257
02/07/13,soya,20
23/10/13,bread,484
27/01/13,meals,115
20/01/12,soya,7
27/09/12,chicken,1341
30/12/11,soja,33
20/08/13,swine,25
12/03/14,nestle,14
27/08/13,cow,179
21/07/12,parmesan,8
23/08/14,ricotta,3
29/03/13,dairy,99
18/06/14,egg,415
27/10/11,prawn,7
10/03/12,rice,280
14/06/13,coca,255
06/03/12,salt,222
19/09/13,soya,17
03/10/13,parmesan,3
29/12/13,oxen,1
24/05/14,maize,6
30/03/13,sardine,6
13/04/12,whisky,58
01/05/13,cola,461
17/03/14,wheat,64
11/10/11,fish,471
07/06/13,provolone,6
07/11/13,meals,138
14/04/13,oat,8
30/03/13,sugarcane,2
13/06/12,salt,339
07/06/14,edam,3
29/11/12,salmon,78
23/07/12,poultry,14
22/05/13,oyster,37
07/06/13,steak,245
08/09/14,quark,5
03/06/13,cookie,350
20/05/12,cookie,268
25/04/14,oyster,37
25/02/13,oxen,1
23/07/14,maize,6
04/07/13,atta,53
26/10/12,sirloin,2
24/09/12,poulet,21
11/09/14,farina,14
20/02/13,meal,605
13/08/12,flour,27
08/06/12,whisky,120
09/01/12,bacon,352
19/04/12,nestle,18
20/06/14,tea,1108
05/09/13,pig,252
25/10/11,eggnog,1
03/10/12,soya,10
06/12/13,noodles,179
26/05/14,sugarcane,2
27/02/12,sirloin,2
26/11/11,foods,120
06/09/14,whisky,98
01/12/12,tea,1250
12/04/12,atta,78
30/07/13,ham,490
10/03/14,bread,474
20/09/13,cow,222
13/10/11,chocolate,315
18/11/13,rice,379
06/06/13,ethanol,5
10/07/13,eggnog,1
18/02/12,ravioli,17
08/06/12,cream,1416
22/06/12,bread,564
22/08/12,dinner,2097
06/07/13,quark,7
06/04/12,coca,192
22/01/12,parmesan,7
27/04/12,biofuel,2
05/01/13,goat,121
21/04/12,barley,46
22/03/14,cream,1255
21/08/14,beer,1026
04/06/14,maize,2
26/05/12,boeuf,5
17/08/12,barley,66
29/11/11,dinner,506
25/03/13,roquefort,3
01/03/14,noodles,99
15/07/12,coca,198
26/10/11,eggnog,8
23/07/13,potato,331
09/07/14,egg,331
26/05/13,pimento,3
10/09/12,chicken,1358
29/07/13,oat,17
08/03/14,veal,2
23/06/13,soya,8
25/01/12,lunch,2790
28/10/13,kidney,51
05/03/12,goat,92
17/11/13,beef,355
16/09/12,butter,346
21/05/12,nestle,11
06/11/12,chocolate,2471
17/11/13,soybeans,1
06/05/12,food,4618
17/01/13,volaille,1
07/05/13,bacon,617
19/08/13,cheddar,39
11/09/13,bread,553
29/03/14,starch,3
04/08/14,bacon,551
26/05/13,potato,271
25/03/14,noodles,171
01/04/14,gluten,60
04/06/13,scotch,36
16/03/13,atta,27
29/11/12,rib,34
12/08/13,meal,547
29/10/12,beer,1210
29/07/13,cow,226
24/08/13,potato,220
01/10/13,ravioli,19
24/11/13,atta,57
