date,food,count
26/11/12,milk,276
10/05/13,sugar,144
03/03/13,starch,4
27/09/14,poulet,1
19/05/14,cola,35
07/07/12,ham,105
11/03/13,whisky,20
03/07/14,chese,1
13/08/14,milk,251
16/07/12,catfish,7
07/03/12,flour,7
21/10/12,cattle,5
30/07/14,prawn,5
09/10/13,tater,4
02/06/13,salt,87
22/07/14,salmon,31
23/07/12,tea,704
06/02/12,bread,224
18/05/12,colby,8
12/05/14,noodles,61
06/04/14,poultry,2
27/12/11,sugarcane,4
06/06/13,prawn,3
10/03/14,nestle,1
02/07/12,cheddar,16
11/05/14,barley,16
21/05/13,cow,75
07/07/13,bran,14
17/05/12,foods,77
12/11/12,pimento,2
07/07/13,coca,9
15/07/13,potato,89
24/11/11,tea,616
26/12/13,rib,18
25/11/11,sardine,2
28/02/12,ricotta,1
05/05/13,milk,59
18/03/14,cow,70
24/08/13,rib,19
02/12/12,colby,9
07/11/12,seafood,38
30/09/14,coca,4
18/05/13,feta,1
31/10/13,salt,67
15/02/13,barley,22
08/03/14,meat,187
18/01/12,brisket,3
11/01/12,bread,224
10/10/11,butter,45
09/09/13,quark,1
25/06/13,kine,1
30/04/14,soya,2
04/03/13,cheshire,24
24/02/13,ravioli,28
25/10/12,rice,142
18/12/12,pig,109
18/09/13,food,2518
02/07/13,soya,2
23/10/13,bread,235
27/01/13,meals,51
20/01/12,soya,2
30/05/13,prawn,5
27/09/12,chicken,583
20/08/13,swine,7
12/03/14,nestle,5
27/08/13,cow,59
21/07/12,parmesan,1
29/03/13,dairy,46
14/04/14,coffee,753
18/06/14,egg,89
27/10/11,prawn,8
10/03/12,rice,128
14/06/13,coca,25
06/03/12,salt,91
19/09/13,soya,2
24/05/14,maize,3
30/03/13,sardine,2
13/04/12,whisky,7
01/05/13,cola,32
17/03/14,wheat,23
11/10/11,fish,198
07/06/13,provolone,2
07/11/13,meals,65
14/04/13,oat,6
13/06/12,salt,130
29/11/12,salmon,24
23/07/12,poultry,8
22/05/13,oyster,15
08/09/14,quark,1
03/06/13,cookie,142
20/05/12,cookie,100
25/04/14,oyster,22
23/07/14,maize,1
04/07/13,atta,8
26/10/12,sirloin,1
11/09/14,farina,1
20/02/13,meal,354
18/06/12,feta,5
08/06/12,whisky,14
09/01/12,bacon,158
20/06/14,tea,393
12/10/13,lunch,464
03/10/12,soya,3
06/12/13,noodles,88
26/11/11,foods,122
06/09/14,whisky,15
01/12/12,tea,490
24/02/12,meal,244
30/07/13,ham,126
10/03/14,bread,214
20/09/13,cow,70
13/10/11,chocolate,93
18/11/13,rice,174
06/06/13,ethanol,1
18/02/12,ravioli,6
08/06/12,cream,653
22/06/12,bread,276
31/01/12,brisket,1
16/04/12,beef,178
06/04/12,coca,10
22/01/12,parmesan,1
05/01/13,goat,37
21/04/12,barley,15
22/03/14,cream,493
21/08/14,beer,417
25/08/13,cattle,1
26/05/12,boeuf,1
17/08/12,barley,20
29/11/11,dinner,534
01/03/14,noodles,49
15/07/12,coca,7
23/07/13,potato,138
09/07/14,egg,144
25/10/13,herring,2
