date,food,count
01/03/13,cheddar,1
19/05/14,cola,8
21/10/12,cattle,3
06/03/14,poulet,2
21/11/11,whisky,1
18/08/12,ham,36
04/06/14,kidney,6
24/04/12,cheddar,1
22/02/12,noodles,3
07/07/12,ham,13
11/03/13,whisky,3
05/05/13,milk,9
02/05/14,ethanol,2
05/01/12,chocolate,42
26/02/12,gluten,1
06/01/12,breakfast,46
13/08/14,milk,26
21/02/14,lamb,6
27/09/14,poulet,1
24/09/13,tea,56
16/06/12,cow,3
14/07/12,spud,3
02/06/13,salt,15
22/07/14,salmon,4
14/05/14,flour,1
23/07/12,tea,49
06/02/12,bread,27
07/08/13,steak,16
24/06/13,poulet,3
18/05/12,colby,2
05/03/12,goat,4
27/12/11,sugarcane,1
22/09/12,pig,7
10/01/12,food,241
04/03/12,gluten,2
04/06/13,scotch,1
11/03/13,cola,6
09/07/14,gatorade,4
02/07/12,cheddar,1
11/05/14,barley,1
04/06/12,cow,11
17/02/14,poulet,6
07/07/13,bran,1
17/10/12,lamb,2
21/08/13,meat,18
02/12/12,food,348
19/10/12,goat,13
27/02/13,poulet,1
27/12/13,colby,2
23/07/12,steak,4
06/05/13,oyster,2
15/07/13,potato,7
24/11/11,tea,36
26/12/13,rib,5
19/07/14,sheep,6
31/08/13,bran,1
12/03/13,bread,34
18/03/14,cow,11
24/08/13,rib,1
27/01/13,cheddar,2
02/12/12,colby,2
28/06/13,cow,13
25/05/13,herring,1
27/07/13,corn,22
29/09/12,yogurt,3
21/09/13,yogurt,4
15/04/14,spud,1
06/11/12,steak,11
31/10/13,salt,14
15/02/13,barley,3
13/05/14,carp,3
08/03/14,meat,16
26/05/13,dairy,4
31/12/13,tater,1
20/01/13,sugar,19
10/10/11,butter,13
09/09/13,quark,1
01/06/13,parmesan,1
24/03/14,swine,2
23/10/13,oyster,3
07/09/12,soya,1
31/05/12,oat,1
30/04/14,soya,1
22/07/13,butter,9
27/05/13,foods,27
26/08/13,liver,5
26/04/14,poultry,2
17/04/14,sardine,1
