date,food,count
01/03/13,cheddar,4
19/05/14,cola,1
28/03/14,cookie,9
17/10/11,catfish,1
27/09/14,poulet,1
06/03/14,poulet,1
18/08/12,ham,19
04/06/14,kidney,1
24/04/12,cheddar,3
22/02/12,noodles,2
07/07/12,ham,13
11/03/13,whisky,6
05/05/13,milk,4
10/07/12,meat,18
25/08/13,lunch,37
26/02/12,gluten,7
06/01/12,breakfast,28
31/07/14,nestle,1
21/02/14,lamb,1
29/08/14,nestle,2
07/03/12,flour,2
24/09/13,tea,47
14/07/12,spud,1
02/06/13,salt,6
22/07/14,salmon,1
27/08/12,rib,2
24/06/13,poulet,4
23/07/13,potato,5
12/05/14,noodles,1
05/03/12,goat,3
11/11/11,mozzarella,1
10/01/12,food,144
04/03/12,gluten,10
04/06/13,scotch,3
09/07/14,gatorade,3
02/07/12,cheddar,3
21/09/12,butter,9
10/03/13,meal,24
17/02/14,poulet,3
17/05/12,foods,8
21/08/13,meat,12
02/12/12,food,227
19/10/12,goat,3
27/02/13,poulet,3
23/07/12,steak,3
06/05/13,oyster,1
15/07/13,potato,16
24/11/11,tea,25
25/11/11,sardine,1
04/10/12,foods,14
12/03/13,bread,29
18/03/14,cow,9
24/08/13,rib,3
27/01/13,cheddar,2
20/01/12,syrup,1
07/11/12,seafood,5
29/09/12,yogurt,5
21/09/13,yogurt,2
15/04/14,spud,1
10/11/13,meal,26
31/10/13,salt,9
08/03/14,meat,12
26/05/13,dairy,1
31/12/13,tater,1
11/01/12,bread,11
10/10/11,butter,3
07/03/12,salmon,2
24/03/14,swine,1
07/02/14,food,258
07/09/12,soya,1
31/05/12,oat,1
29/11/11,bread,9
22/07/13,butter,11
27/05/13,foods,10
17/03/13,nestle,1
05/09/12,food,272
12/05/12,maize,1
06/07/14,swine,2
21/05/14,cream,39
04/07/13,seafood,2
25/10/12,rice,12
15/03/14,rice,10
18/12/12,pig,9
18/09/13,food,261
04/10/12,bacon,19
23/10/13,bread,24
14/08/13,chicken,30
27/01/13,meals,10
31/07/13,cola,8
27/09/12,chicken,39
12/03/14,nestle,1
04/10/13,seafood,4
13/08/14,milk,16
18/10/13,dinner,52
25/07/12,rib,1
29/03/13,dairy,4
06/07/14,colby,1
28/03/13,foods,18
