date,food,count
01/03/13,cheddar,2
19/05/14,cola,46
18/12/13,bread,19
21/10/12,feta,2
12/04/13,seafood,1
03/03/13,starch,1
21/10/12,cattle,1
30/09/13,goat,1
06/03/14,poulet,1
21/11/11,whisky,1
18/08/12,ham,27
24/04/12,cheddar,3
22/02/12,noodles,8
07/07/12,ham,5
11/03/13,whisky,6
05/05/13,milk,7
10/07/12,meat,19
05/10/12,ethanol,1
06/01/12,breakfast,17
13/10/12,butter,7
16/07/12,catfish,1
07/03/12,flour,1
29/10/11,mozzarella,1
27/09/14,poulet,5
24/09/13,tea,107
14/01/12,corn,7
16/06/12,cow,7
02/06/13,salt,5
22/07/14,salmon,4
14/05/14,flour,3
06/02/12,bread,46
24/06/13,poulet,3
18/05/12,colby,1
12/05/14,noodles,3
05/03/12,goat,2
11/11/11,mozzarella,1
22/09/12,pig,6
10/01/12,food,195
04/03/12,gluten,2
04/06/13,scotch,1
09/07/14,gatorade,5
02/07/12,cheddar,2
11/05/14,barley,1
29/06/14,tea,50
17/02/14,poulet,2
07/07/13,bran,4
17/10/12,lamb,3
21/04/12,breakfast,27
07/07/13,coca,18
19/10/12,goat,1
27/02/13,poulet,1
05/05/12,soja,2
23/07/12,steak,4
15/07/13,potato,10
24/11/11,tea,42
25/11/11,sardine,1
31/08/13,bran,4
12/03/13,bread,15
18/03/14,cow,3
05/12/13,poultry,1
25/02/14,coca,21
22/02/14,poulet,2
28/06/13,cow,7
07/11/12,seafood,6
30/10/11,swine,1
21/09/13,yogurt,2
30/09/14,coca,9
18/05/13,feta,1
31/10/13,salt,5
15/02/13,barley,1
13/05/14,carp,1
08/03/14,meat,12
26/05/13,dairy,9
17/06/13,sheep,3
11/01/12,bread,22
10/10/11,butter,11
04/04/12,lunch,59
07/03/12,salmon,6
25/06/13,kine,1
02/02/12,salami,1
03/07/13,salami,2
29/11/11,bread,5
22/07/13,butter,10
27/05/13,foods,14
18/10/13,veal,1
05/09/12,food,278
06/07/14,swine,1
08/09/13,sugar,16
04/07/13,seafood,7
27/10/13,bran,3
25/10/12,rice,12
15/03/14,rice,9
18/12/12,pig,10
18/09/13,food,241
10/06/13,chorizo,3
23/10/13,bread,15
14/08/13,chicken,40
27/01/13,meals,8
04/09/13,rib,1
02/11/13,rice,12
21/10/11,buttermilk,1
16/09/14,veal,1
27/08/13,cow,6
21/07/12,parmesan,1
18/10/13,dinner,40
24/03/12,chorizo,11
29/03/13,dairy,20
18/06/14,egg,11
28/03/13,foods,30
22/03/13,salmon,2
01/06/14,kidney,2
11/04/12,bacon,17
06/03/12,salt,8
19/09/13,soya,1
04/06/14,noodles,5
24/05/14,maize,1
27/07/13,salt,8
19/09/12,egg,11
13/04/12,whisky,6
01/05/13,cola,64
11/11/12,meal,13
29/09/13,steak,10
21/09/13,beer,44
17/03/14,wheat,4
11/11/13,soya,2
11/10/11,fish,40
18/10/13,food,251
07/11/13,meals,13
21/11/12,gatorade,4
14/04/13,oat,1
11/10/12,sardine,1
26/02/14,yogurt,7
12/05/12,noodles,5
30/03/14,beef,11
29/02/12,chicken,26
25/02/13,bacon,10
30/09/12,cheddar,1
21/02/13,bacon,4
11/11/12,ham,34
22/05/13,oyster,1
28/09/12,chicken,35
04/08/14,roquefort,1
16/04/14,salmon,5
19/09/12,whisky,7
21/06/13,steak,8
03/06/13,cookie,8
20/05/12,cookie,10
08/03/14,rib,2
23/07/14,maize,1
04/07/13,atta,1
23/09/13,dinner,36
14/06/13,butter,8
24/09/12,poulet,1
23/11/11,pig,6
20/02/13,meal,21
13/08/12,flour,5
17/10/11,maize,1
01/05/14,beer,38
27/03/13,coffee,41
18/07/13,cow,7
09/01/12,bacon,10
20/02/13,oyster,1
02/09/12,rice,13
05/09/13,pig,9
25/10/11,eggnog,1
12/11/13,bread,20
21/12/13,food,214
06/12/13,noodles,6
09/07/13,beef,12
07/04/12,atta,3
10/02/14,salmon,5
08/06/12,noodles,14
07/09/14,meals,8
30/11/13,romano,3
26/11/11,foods,12
06/09/14,whisky,5
20/07/13,cream,31
01/12/12,tea,77
24/02/12,meal,15
30/07/13,ham,19
01/05/12,chicken,23
15/10/12,whisky,8
20/09/13,cow,5
13/10/11,chocolate,11
18/11/13,rice,17
06/06/13,ethanol,4
29/09/14,soja,1
27/02/12,soya,1
25/12/13,meals,10
18/02/12,ravioli,3
08/06/12,cream,41
17/08/13,brisket,1
17/02/13,beef,14
27/04/12,oyster,2
22/06/12,bread,16
22/08/12,dinner,49
16/12/12,meals,4
29/04/14,meat,15
07/12/13,soya,1
06/04/12,coca,8
08/09/14,chocolate,78
22/01/12,parmesan,2
17/03/14,meals,6
17/11/12,meals,16
05/01/13,goat,2
24/01/13,bran,1
21/04/12,barley,2
22/03/14,cream,38
21/08/14,beer,41
06/05/14,feta,2
25/08/13,cattle,1
26/05/12,boeuf,1
14/06/13,flour,1
17/08/12,barley,2
29/11/11,dinner,10
01/03/14,noodles,6
17/08/12,syrup,6
15/07/12,coca,4
23/07/13,potato,4
09/07/14,egg,10
25/10/13,herring,1
05/05/12,beef,13
10/09/12,chicken,37
01/12/13,herring,1
24/11/12,bran,1
31/05/14,dairy,5
25/01/12,lunch,75
31/12/13,tea,50
27/07/14,chorizo,1
17/11/13,beef,11
