(u'adoption', 0.615783060370904)
(u'liver', 0.7038390893286564)
(u'uniteblue', 0.703979333114248)
(u'portland', 0.7040637586280938)
(u'alternative', 0.7040908485566867)
(u'architecture', 0.7041692451419089)
(u'sheffield', 0.7045382684539269)
(u'yummie', 0.7046287185821325)
(u'mentioned', 0.7046837526752823)
(u'nsw', 0.7047546428752745)
(u'union', 0.704954821382543)
(u'penang', 0.705243693708826)
(u'rescue', 0.705324954124488)
(u'fitness', 0.705406067042093)
(u'central', 0.7054731993449799)
(u'picoftheday', 0.7056570479176101)
(u'january', 0.7056593160977167)
(u'colours', 0.7057847328495664)
(u'victory', 0.7059321240894951)
(u'collection', 0.7059415006879021)
(u'homesweethome', 0.705953648706501)
(u'world', 0.7060635013136721)
(u'redgage', 0.7060884326767778)
(u'instagood', 0.7061638443098402)
(u'creativity', 0.7070128736913702)
(u'views', 0.7073663348783673)
(u'leadership', 0.7078064803429335)
(u'autism', 0.7078779817670132)
(u'progress', 0.7079244615756611)
(u'cheers', 0.7079674801087156)
(u'coupon', 0.7079829875263669)
(u'tabasco', 0.7080812626300695)
(u'appetizer', 0.7084737013420251)
(u'continues', 0.7085429710103702)
(u'records', 0.7086673715282722)
(u'pittsburgh', 0.708938882742647)
(u'deals', 0.7090889459121379)
(u'israel', 0.7092264075887397)
(u'returns', 0.7092593177500686)
(u'sacramento', 0.7095591591853008)
(u'writes', 0.7095664040793738)
(u'france', 0.7096933597775843)
(u'mark', 0.7098834244295794)
(u'price', 0.7099806878262789)
(u'independent', 0.7101362214777247)
(u'productivity', 0.710155292997238)
(u'content', 0.7102002627370354)
(u'pose', 0.7107665949540232)
(u'guide', 0.7107739476498414)
(u'tool', 0.7108634164603161)
(u'flavorful', 0.7108817477300834)
(u'article', 0.7108967978676852)
(u'marketing', 0.7108968624358031)
(u'environment', 0.710959048579215)
(u'blog', 0.711077692046443)
(u'malaysiafoodporn', 0.7111272254585472)
(u'alternatives', 0.7112242405432255)
(u'mix', 0.7116354089982571)
(u'halifax', 0.7116625867989304)
(u'mumbai', 0.7117127871725742)
(u'bracelet', 0.711955639392959)
(u'area', 0.7120316385649974)
(u'tavern', 0.7120460528835656)
(u'realfood', 0.7121152861352041)
(u'spotlight', 0.7121687816324547)
(u'cho', 0.7122309196677673)
(u'springs', 0.7125940460304452)
(u'puppy', 0.7125996751424095)
(u'ove', 0.7126401003749192)
(u'branding', 0.7126484679354176)
(u'minneapolis', 0.7126660513893754)
(u'chinesefood', 0.7127183131689767)
(u'rva', 0.7127569024197175)
(u'marketplace', 0.712796933147749)
(u'answers', 0.7128379582380174)
(u'video', 0.7128571033877914)
(u'obamacare', 0.7130020268292034)
(u'updated', 0.7132061837159039)
(u'sundaydinner', 0.7132516087353773)
(u'evolution', 0.7135122296395614)
(u'doctorwho', 0.7135263716551837)
(u'headquarters', 0.7135435839063418)
(u'health', 0.7136319225238247)
(u'june', 0.7138483186807713)
(u'advertising', 0.714029195659312)
(u'society', 0.7142619807546309)
(u'suite', 0.714401864203063)
(u'fla', 0.7145222891365683)
(u'public', 0.7145467185446708)
(u'winery', 0.7145777271556487)
(u'yegfood', 0.7146333494564403)
(u'coupons', 0.7147918444774479)
(u'nbd', 0.7148342935921435)
(u'europe', 0.7148409860862607)
(u'funtimes', 0.715056484679205)
(u'f00dp0rn4lyf', 0.7152555834720367)
(u'community', 0.7153041486370467)
(u'afghanistan', 0.7153230291838562)
(u'inspire', 0.7153524731893047)
(u'approved', 0.7153752060444405)
(u'qatar', 0.7154302157714049)
(u'photooftheday', 0.7155970137287363)
(u'district', 0.7155990869137716)
(u'tips', 0.7156051606220479)
(u'kenya', 0.7156499726517672)
(u'apartments', 0.7159345151717136)
(u'houston', 0.7159776400104633)
(u'klik', 0.7160255202104527)
(u'region', 0.7160349918555824)
(u'sales', 0.716219994206135)
(u'logic', 0.7164137195674749)
(u'throwbackthursday', 0.7164265278711185)
